Source Category,Dataset(s) Name,Data Source (Who publishes the data?),Link,Description of Dataset(s),Description of Data Source,"Data Type (Survey, Administrative, Opportunity), Stability, and Transparency",Time Period Coverage,Unit of Coverage,Geographical Coverage,Data Format,Accessibility,"Category (Education, Employment)",Subpopulations and Geographies Coverage & Comparatibility,STW Inclusion,Comparability to National Survey Measures,Linkage to Other Sources,Data Dictionary,Aggregated Data Tools,Potential Use to Stakeholders,Potential Use to General Public,Notes
NP,Credential Registry,Credential Engine,"
Credential Finder: https://credentialfinder.com/","""Credential Registry uses open-licensed software to continuously capture, connect, archive and share metadata about credentials, credentialing organizations, quality assurance organizations and competency frameworks and additional metadata as needed to support an open applications marketplace.""","The Credential Engine initially came from the Credential Transparency Initiative and is supported by the Lumina Foundation, JPMorganChase&Co, Walmart Foundation, Microsoft, Northrop Grumman Foundation, ECMC Foundation.","The data type is opportunity. Data is reliant upon organizations registering, and then uploading and updating the data about the credentials they provide. The registry follows a common language which assists the reproducibility of the data.",This data does not appear to have a time period associated with it. ,"In the Credential  Finder,  credential, organization, assessments, learning opportunities, and competency frameworks are all searchable options.","This source covers the United States, but an organization must register and upload credentials",json,"Bulk Download: https://github.com/CredentialEngine/Import_From_Registry/wiki

Search API: https://credreg.net/registry/handbook#consume

Organization must have an account approved to use Registry data.",Education: Credentials,N/A,There are STW credentialing included in the data.,?,It could potentially be linked to other education data sources based on organization name or other credentials by credential title.,"The Credential Transparency Description Language Mapping Guidance:
https://credreg.net/ctdl/mapping",An aggregated data tool can be found here: https://credentialfinder.org/reports,"Although this source does not give every credentialing opportunity in the US, it provides data about those registered with Credential Registery, as well as a common language to describe credentials.",The Credential Finder tool allows anyone to search for credentials and organizations of interest. The finder tool is user-friendly and open to the general public. ,
NP,"StudentTracker College

StudentTracker High School

Workforce Credential Coalition",National Student Clearinghouse Research Center,"https://studentclearinghouse.org/about/how-we-serve-the-k-20-to-workforce-continuum/

https://nscresearchcenter.org/","""StudentTracker® is the only nationwide source of college enrollment and degree data. More than 3,600 colleges and universities — enrolling over 99 percent of all students in public and private U.S. institutions — regularly provide enrollment and graduation data to the Clearinghouse. Through StudentTracker, you can query our participating institutions’ student data to perform all types of educational research and analyses — quickly, easily, and affordably.""
","""The National Student Clearinghouse® Research Center™ is the research arm of the National Student Clearinghouse. The Research Center works with higher education institutions, states, districts, high schools, and educational organizations to better inform practitioners and policymakers about student educational pathways. Through accurate longitudinal data outcomes reporting, the Research Center enables better educational policy decisions, leading to improved student outcomes.""

https://studentpathways.org/","The data type is opportunity, because institutions choose to report their data to National Student Clearinghouse. Their data is from 3600 colleges and universities, theat enroll more than 99% of all students. ","Longitudinal cohorts can be defined (ex. First generation students), and you can track one student over time.

The month and year that each institution joined can be found here for colleges: https://studentclearinghouse.org/colleges/enrollment-reporting/enrollment-reporting-institutions/",student,"This source covers the United States, but an institution must provide National Clearinghouse with data. ",Excel,"

Using the StudentTracker tool, results can be exported to an Excel spreadsheet. 

https://studentclearinghouse.info/onestop/wp-content/uploads/STCU_User_Manual.pdf

Free to participating institutions. Other institutions/organizations will pay a fee. ","Education: Degree Level, Major, Credential","There are data elements to explore subpopulations, such as race, ethnicity, and gender. 

https://nscresearchcenter.org/wp-content/uploads/Reporting_of_NSC_Additional_Data_Elements.pdf","Students could be grouped by if their major is considered an STW major by CIP code. Additionally, the degree level is given, which is helpful for analysis for certificates and associate's degrees only.

Student Clearinghouse also does workforce Credential Verication, however, it is not clear that that information is available or useful.",?,"There is a crosswalk table that connects the StudentTracker School Code with the IPEDS unit IDs. 

There is also a CIP lookup table.

https://nscresearchcenter.org/workingwithourdata/","The documents and tables on this page are the closest documentation to a data dictionary. 

https://nscresearchcenter.org/workingwithourdata/",,"The StudentTracker for High School students combinded with the StudentTracker for College students will potentially show pathways for students. This is useful because it will show the degree level of the student, so those with a bachelor's degree or above could be separated from certificate and associate's degrees. ",N/A,"Article on Industry-Credentials: 

https://studentclearinghouse.org/nscblog/industry-based-credentials-are-part-of-the-education-pathway/"
,"College-Bound Seniors

College-Bound Juniors & Sophomores

AP, SAT, SAT Subject, and other test Assessments",College Board,"https://research.collegeboard.org/about-us/request-data

https://research.collegeboard.org/programs/sat/data/archived/cb-seniors-2013

https://research.collegeboard.org/programs/sat/data

https://research.collegeboard.org/programs/ap/data","
""...information such as test scores; test volumes; identification of student names and addresses; identification of the secondary schools that students attend (AI, or attending institution), and the postsecondary institutions that receive scores (DI, or designated institution); and data from the SAT Questionnaire such as the course-taking patterns and extracurricular interests of individual students, as well as demographic information on student family background variables, such as selfreported race/ethnicity, parental education, and family income.""

""The College Board Data and programs include, but are not limited to, the Advanced Placement Program® (AP® ); SAT Program, which includes the SAT and SAT Subject Tests™, and PSAT-related assessments, which include the PSAT™ 8/9, PSAT™ 10, and PSAT/NMSQT® ; the ACCUPLACER® Program, CSS/Financial Aid PROFILE® , and College-Level Examination Program® (CLEP® )""",The College Board is a not-for-profit that provides tests for students to prepare for college.,"The data type depends based on what data is requested. Test score data is adminsitrative, whereas the demographic information is survey data. ",Not specified.,student,United states,not specified,"Data must be requested here, and there may be a fee: https://research.collegeboard.org/about-us/request-data. ",Education: Test Scores,"Students report ethnicity and gender, as well as other socioeconomic variables.

Geographies include personalized aggregations and institution-/district-level.",College-Bound Seniors data reports intended major and degree level.,?,"If individual level can be attained, this could be connected to the National Student Clearinghouse individual level data. 

Anticipated major could be connected to CIP codes.",Data dictionary is not provided on the College Board website.,"Personalized aggregated data can be requested, as well as institution-/district-level data.","This could contribute to educational pathways, by showing test scores, demographic, and socioeconmoic data of students planning on going into specific majors and degree levels (Associate's, certificate).",,
,Open Skills Data,Data At Work,"http://dataatwork.org/

https://github.com/workforce-data-initiative/skills-api/wiki/API-Overview","""The Open Skills Project is a public-private partnership lead by the University of Chicago focused on providing a dynamic, up-to-date, locally-relevant, and normalized taxonomy of skills and jobs that builds on and expands on the Department of Labor’s O*NET data resources. It’s aim is to improve our understanding of the labor market and reduce frictions in the workforce data ecosystem by enabling a more granular common language of skills among industry, academia, government, and nonprofit organizations.""

""Our Open Skills Project publishes standardized job titles, skills, and training outcomes to provide the foundation of a more open, connected and interoperable workforce data ecosystem.""","Data at Work develops ""datasets, tools, standards, and best practices for publishing data on skills, jobs, and training"".",?,2011Q1 - 2017Q3,job postings,CBSA,json,API: https://github.com/workforce-data-initiative/skills-api/wiki/API-Overview,Employment,,Provides job posting by SOC code.,,Can be linked through SOC code or other sources at CBSA level.,,,,,
P,indeed,"will need to contact for data

The have a database for resumes:

https://www.indeed.com/hire/resume-search",,"I cannot find where indeed offeres data for workforce research, but we could contact them to request data.",,,,,,,,,,,,,,,,,
P,linkedin,,"https://engineering.linkedin.com/blog/2018/08/research-updates--economic-graph-research-program-cfp

This might provide useful information for submitting a proposal to use their data. I am not able to find a 2019 call for proposals",,,,,,,,,,,,,,,,,,
P,burning glass,,,,,,,,,,,,,,,,,,,,
,Course report,will need to contact for data,"https://www.coursereport.com/resources/research-reports

This data surveys schools

example course listing: https://www.coursereport.com/schools/general-assembly#/courses","""Course Report is the leading authority on immersive technology education, having been cited in the New York Times, the Wall Street Journal, the San Francisco Chronicle, TechCrunch, GeekWire, EdSurge and more. We conduct in-depth research on the industry, track trends in coding education, share student stories, produce a monthly podcast, and host thousands of alumni reviews. Course Report has everything you need to choose the bootcamp that’s right for you.""",self- reported survey. they may have adminstrative data based on reviews.,,,,,,,,,,,,,,,,
,"Trilogy Ed * is owned by ""2U""",will need to contact for data,"https://www.trilogyed.com/programs/

This has specific skills that could be listed under ""explore the curriculum"", but I cannot find a list of institutions that partner with Trilogy","""Trilogy Education is a Workforce Accelerator. We partner with the best universities in the world to create and manage skills-based training programs. Together, we’re training today’s workers with tomorrow’s skills to help companies bridge the digital skills gap.""

Programs: Data Analytics/Visualization, Web Develpment, UX/UI Design, Cybersecurity, FinTech",,,,,,,,,,,,,,,,,
,skills fund,,https://skills.fund/resources/reved,"Skillsfund finances students who are enrolled in bootcamps.

Has information on partner schools, with information on lenght of program, cost of program, format (in-person/online/on campus), and program outcomes. The information is in ""Partner Spotlight"" articles: https://skills.fund/resources/best-schools

LIst of schools available here: https://skills.fund/students",,,,,,,,,,,,,,,,,
,Monster Real-Time Labor Intelligence,Monster Government Solutions,https://www.monstergovernmentsolutions.com/what-we-do/state-and-local/develop/real-time-labor-intel,"Monster Real-Time Labor Intelligence works to speed employment, address skills gaps, reveal in-demand occupations, analyze sectors, and identify career progressions. Real-Time Labor Intelligence:

Provides an understanding of how economies and sectors are changing from a macro to a micro level.

Matches talent to employers, matches skilled candidates with in-demand occupations, and shows where the jobs are.

Aligns academic and training programs with emerging market needs.

Uses data to understand career progressions and the associated changes in skills, certifications, and compensation.",,,,,,,,,,,,,,,,,
